scorer,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000,DLC_resnet50_test_envgMar7shuffle1_1030000
bodyparts,nose,nose,nose,head,head,head,soine1,soine1,soine1,spine2,spine2,spine2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
112,386.1374816894531,321.0264892578125,0.0003190429415553808,371.38897705078125,364.51922607421875,0.005307347513735294,382.10040283203125,353.869140625,0.9999985694885254,384.43426513671875,322.39971923828125,1.0
113,386.0932922363281,321.08282470703125,0.000317687401548028,371.31219482421875,364.47039794921875,0.00516915787011385,381.9034729003906,353.80352783203125,0.9999986886978149,384.5040588378906,322.5683288574219,1.0
114,385.728515625,321.0677795410156,0.00031798952841199934,371.26116943359375,364.5495910644531,0.004663163796067238,381.67041015625,353.7455749511719,0.9999988079071045,383.7950439453125,323.06805419921875,1.0
115,385.52032470703125,321.2771301269531,0.0002803961397148669,372.54620361328125,367.4166259765625,0.0054698814637959,381.62884521484375,353.7574157714844,0.9999994039535522,383.46075439453125,323.48358154296875,1.0
116,371.5251770019531,380.7342834472656,0.0002678089076653123,373.08160400390625,367.78094482421875,0.0045019169338047504,382.0667419433594,354.04058837890625,0.9999995231628418,382.65106201171875,324.6260986328125,1.0
117,382.0376892089844,325.001953125,0.00039408449083566666,372.9554138183594,367.8965759277344,0.006835349835455418,381.66497802734375,354.2859191894531,0.9999994039535522,381.57989501953125,325.7402038574219,1.0
118,380.7100830078125,324.7132568359375,0.0004602072003763169,372.86773681640625,367.7126770019531,0.01056432630866766,381.5603332519531,354.38177490234375,0.9999996423721313,380.357177734375,325.9595642089844,1.0
119,379.69512939453125,324.6545715332031,0.00046861745067872107,372.9997253417969,367.5211181640625,0.014581927098333836,381.5513610839844,354.0354309082031,0.9999996423721313,379.2057189941406,326.2098083496094,1.0
120,380.0148620605469,324.0201721191406,0.00047130510210990906,373.4000549316406,367.2420654296875,0.08861304819583893,381.9768371582031,353.17822265625,0.9999992847442627,379.15228271484375,326.0854187011719,1.0
121,378.35345458984375,323.19195556640625,0.00038338059675879776,373.555419921875,367.482177734375,0.08151193708181381,381.65826416015625,353.0137634277344,0.9999992847442627,376.5576477050781,325.8224792480469,1.0
